imdb_id,director,original_title,genre,overview
tt0056606,Roger Corman,Tower of London,History,The twisted Richard III is haunted by the ghosts of those he has murdered in his attempt to become the King of England.
tt0056552,Roger Corman,Tales of Terror,Thriller,"Three stories adapted from the work of Edgar Allen Poe:  1) A man and his daughter are reunited, but the blame for the death of his wife hangs over them, unresolved.  2) A derelict challenges the local wine-tasting champion to a competition, but finds the man's attention to his wife worthy of more dramatic action.  3) A man dying and in great pain agrees to be hypnotized at the moment of death, with unexpected consequences."
tt0055019,Roger Corman,The Intruder,Drama,A man in a gleaming white suit comes to a small Southern town on the eve of integration. He calls himself a social reformer. But what he does is stir up trouble--trouble he soon finds he can't control.
tt0056368,Roger Corman,The Premature Burial,Drama,An artist grows distant from his new wife as an irrational horror of premature burial consumes him.
tt0055304,Roger Corman,Pit and the Pendulum,Horror,"Francis Barnard goes to Spain, when he hears his sister Elizabeth has died. Her husband Nicholas Medina, the son of the most brutal torturer of the Spanish Inquisition, tells him she has died of a blood disease, but Francis finds this hard to believe. After some investigating he finds out that it was extreme fear that was fatal to his sister and that she may have been buried alive!"
tt0054768,Roger Corman,Creature from the Haunted Sea,Comedy,A crook decides to bump off members of his inept crew and blame their deaths on a legendary sea creature. What he doesn't know is that the creature is real.
tt0053610,Roger Corman,Atlas,Adventure,"Evil king Praximedes convinces superhero Atlas to fight for him, but Atlas eventually sees the king's true nature and turns against him."
tt0054017,Roger Corman,Last Woman on Earth,Mystery,"Harold Gern, a successful businessman from New York who is constantly in legal trouble, is spending a holiday in Puerto Rico with his attractive wife Evelyn, whom he married “between trials”. They are joined by Martin Joyce, Harold's lawyer, who has come to discuss the latest indictment. Harold invites him along on a boat trip during which all three try out some newly bought scuba diving equipment. When they resurface, they are unable to breathe without using their scuba tanks. They climb back into their boat and find Manuel, the crewman, dead, apparently of asphyxiation. Upon rowing ashore, they enter the jungle. (from Wikipedia)"
tt0054033,Roger Corman,The Little Shop of Horrors,Horror,"Seymour works in a skid row florist shop and is in love with his beautiful co-worker, Audrey. He creates a new plant that not only talks but cannot survive without human flesh and blood."
tt0053925,Roger Corman,House of Usher,Horror,"After a long journey, Philip arrives at the Usher mansion seeking his loved one, Madeline. Upon arriving, however, he discovers that Madeline and her brother Roderick Usher have been afflicted with a mysterious malady: Roderick's senses have become painfully acute, while Madeline has become catatonic. That evening, Roderick tells his guest of an old Usher family curse: any time there has been more than one Usher child, all of the siblings have gone insane and died horrible deaths. As the days wear on, the effects of the curse reach their terrifying climax."
tt0054315,Roger Corman,Ski Troop Attack,Action,An American patrol has to cross behind enemy lines by skis in order to blow up an important railroad bridge. The task is made harder by conflicts between the platoon's veteran sergeant and its inexperienced lieutenant and by constant attacks by pursuing German troops.
tt0052655,Roger Corman,A Bucket of Blood,Comedy,"Nerdy Walter Paisley (Dick Miller), a maladroit busboy at a beatnik café who doesn't fit in with the cool scene around him, attempts to woo his beautiful co-worker, Carla (Barboura Morris), by making a bust of her. When his klutziness results in the death of his landlady's cat, he panics and hides its body under a layer of plaster. But when Carla and her friends enthuse over the resulting artwork, Walter decides to create some bigger and more elaborate pieces using the same artistic process."
tt0051760,Roger Corman,"I, Mobster",Crime,The rise and fall of gang lord Joe Sante.  A crime boss (Steve Cochran) appears before a Senate subcommittee; flashbacks tell his story.
tt0052188,Roger Corman,She Gods of Shark Reef,Thriller,"Two brothers, one wanted for murder, are shipwrecked on an island inhabited by nubile young women who have amassed a valuable cache of pearls."
tt0052279,Roger Corman,Teenage Caveman,Adventure,"Roger Corman's post-holocaust quickie about an adolescent tribesman who dares to explore the feared ""forbidden zone."""
tt0052379,Roger Corman,War of the Satellites,Science Fiction,"An ""unknown force"" declares war against planet Earth when the United Nations disobeys warnings to cease and desist in its attempts at assembling the first satellite in the atmosphere."
tt0051887,Roger Corman,Machine-Gun Kelly,Crime,"George Kelly is angry at the world and scared to death of dying. A career bank robber, Kelly gets his confidence from his Thompson SMG and his girl Flo. After a botched robbery, Flo, Kelly and his gang try their hand at a more lucrative job: kidnapping."
tt0052156,Roger Corman,The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent,Adventure,"A group of Viking women build a ship and set off across the sea to locate their missing menfolk, only to fall into the clutches of the barbarian Grimolts who hold their men captive and worship the sea serpent which overturned their ship."
tt0050998,Roger Corman,Sorority Girl,Drama,"A poor-little-rich-girl feels alienated by her mother and enacts a string of revenges on her fellow pupils at a girls' boarding school. However, she is outcast when one of her stunts nearly drives a girl to suicide."
tt0051062,Roger Corman,Teenage Doll,Drama,"The Black Widows, a teenage girl gang, find one of their number killed; they suspect Barbara, sometime girlfriend of the leader of rival gang The Vandals. As the gangs prepare for a rumble, we glimpse the members' home lives, exaggerating every type of family dysfunction; but that of their ""average American"" quarry is no better. Full of shadowy urban night scenes."
tt0050906,Roger Corman,Rock All Night,Crime,"Cloud Nine, the local teen hangout, has been taken over by a pair of escaped killers, who hold the local teens hostage. The bartender realizes it's up to him to save the kids."
tt0051128,Roger Corman,The Undead,Fantasy,"Two psychics send a woman back in time to find out about her past-life experiences. She goes back as Helene, a woman from the Middle Ages who is to die at dawn under suspicion of being a witch. Then in an attempt to save Diana, and to keep all of time from being distorted, Quntis goes back in time to possibly convince Helene to let herself be killed. If she avoids her death, it will change history."
tt0050147,Roger Corman,Attack of the Crab Monsters,Horror,"A group of scientists travel to a remote island to study the effects of nuclear weapons tests, only to get stranded when their airplane mysteriously explodes. The team soon discovers that the tests have given rise to crabs mutated into intelligent, impervious, telepathic giants intent on increasing their numbers by breeding, then travelling to populated areas to feed, and which do not intend to be stopped by their discoverers."
tt0050778,Roger Corman,Not of This Earth,Horror,"An agent from a distant planet has been sent to earth to ship large quantities of blood to his world, where a plague is ravaging the populace.  He comes equipped with an interstellar matter transmitter, telepathic mind-control powers, and deathray-shooting eyes.  Because he is also affected by the blood disease, he gains control of the town's physician and has him place a nurse at his disposal, while he collects live humans for fresh blood; but gains the nurse's suspicions, along with those of her boyfriend - a town police officer."
tt0050748,Roger Corman,Naked Paradise,Drama,"Gangster Zac Cotton and his two henchmen, Mitch and Sonny, try to get a boat to get off a tropical island after a botched robbery heist."
tt0050230,Roger Corman,Carnival Rock,Drama,An ocean-side nightclub owner (David J. Stewart) loves a singer (Susan Cabot) who only has eyes for a gambler (Brian Hutton).
tt0049370,Roger Corman,It Conquered the World,Horror,An alien from Venus tries to take over the world with the help of a disillusioned human scientist.
tt0049287,Roger Corman,Gunslinger,Action,"After her husband is gunned down, Rose Hood takes his place as sheriff of a small Western town."
tt0049570,Roger Corman,The Oklahoma Woman,Action,"After six years in jail Steve returns to claim a ranch left him in a will. The town is in the middle of a rough election masterminded by saloon owner Marie. Steve is soon on the side of the opposition candidate and his pretty daughter. The town's tough sheriff is on no-one's side, least of all Steve's"
tt0048682,Roger Corman,Swamp Women,Crime,An undercover policewoman helps three female convicts escape from prison so that they can lead her to a stash of stolen diamonds hidden in a swamp.
tt0049128,Roger Corman,Day the World Ended,Horror,"After a nuclear attack, an unlikely group of survivors, including a geologist, a crook and his moll, and a prospector,  find temporary shelter in the remote-valley home of a survivalist and his beautiful daughter, but soon have to deal with the spread of radioactivity - and its effects on animal life, including humans."
tt0047837,Roger Corman,Apache Woman,Western,A government agent ventures west to look into reports that Apaches are behind a recent wave of frontier attacks. Begins to suspect a set-up.
tt0048078,Roger Corman,Five Guns West,Action,"During the Civil War, five condemned Southern prisoners are plucked off Death Row and promised pardons on the condition that they undertake a mission to head west and bring back a double-crossing Confederate spy who has a stagecoach full of Confederate gold."
tt0072149,William Castle,Shanks,Fantasy,"Malcolm Shanks is a sad and lonely man, deaf, mute and living with his cruel sister and her husband, who delight in making him miserable. His only pleasure, it seems, is in making and controlling puppets. Thanks to his skill, he is offered a job as a lab assistant to Dr. Walker, who is working on ways to re-animate dead bodies by inserting electrodes at key nerve points and manipulating the bodies as if they were on strings. When the professor suddenly dies one night, Shanks gets the idea to apply their experimental results to a human body, and then to start exacting some revenge."
tt0063465,William Castle,Project X,Science Fiction,"A spy is brought back from cryogenic suspension after being almost killed in a plane crash returning from a mission to learn about a deadly new weapon being developed in the East. But the vital memories are being suppressed, so the authorities use ultra-advanced technologies to try to uncover the secret."
tt0062298,William Castle,The Spirit Is Willing,Comedy,"When Ben and Kate Powell (Sid Caesar and Vera Miles) rent a haunted New England house by the sea, their son Steve (Barry Gordon) gets blamed for the destruction caused by three unruly ghosts. Another of 'exploitation king' William Castle's supernatural films, this one is studded with familiar character actors including Harvey Lembeck, Mary Wickes, John McGiver, Doodles Weaver, Jesse White and John (""Gomez Addams"") Astin."
tt0061431,William Castle,The Busy Body,Comedy,Sid Caesar is a bumbling gopher to a mob boss who must recover a fortune in cash stowed in the suit of a corpse.
tt0060626,William Castle,Let's Kill Uncle,Thriller,"A 12-year-old orphan who has just inherited a fortune is trapped on an island with his uncle, a former British intelligence commander who intends to kill him. A young girl is the boy's only ally against the sarcastic uncle, who uses hypnotism, a pool of sharks, fire, and poisonous mushrooms as weapons."
tt0059297,William Castle,I Saw What You Did,Horror,"When two teenagers make prank phone calls to strangers, they become the target for terror when they whisper ""I Saw What You Did, And I Know Who You Are!"" to psychopath Steve Marek who has just murdered his wife. But somebody else knows of the terrible crime that was committed that night, the killer's desperately amorous neighbor Amy Nelson."
tt0058403,William Castle,The Night Walker,Horror,"A woman is haunted by recurring nightmares, which seem to be instigated by her late husband who supposedly was killed in a fire."
tt0058620,William Castle,Strait-Jacket,Drama,"After a 20 year stay at an asylum for a double murder, a mother returns to her estranged daughter where suspicions arise about her behaviour."
tt0314182,William Castle,How to Plan a Movie Murder,NA,"The writer, director and star of the 1964 horror film Strait-Jacket in a humorous featurette in which they plan ""the perfect murder."""
tt0057379,William Castle,The Old Dark House,Comedy,An American car salesman in London becomes mixed up in a series of fatal occurrences at a secluded mansion.
tt0056796,William Castle,13 Frightened Girls,Adventure,"While attending a Swiss school for diplomats' daughters, the teenage daughter of the American ambassador uses her access to various embassies to engage in espionage."
tt0056725,William Castle,Zotz!,Comedy,"Jonathan Jones, a professor of ancient languages, comes into possession of an ancient coin. He translates its inscription, which gives him three powers: to inflict pain, slow down time or kill. Soon, he's pursued by enemy spies who have learned about the magic coin."
tt0055200,William Castle,Mr. Sardonicus,Horror,"A search for a winning lottery ticket in his dead father's grave causes Sardonicus' face to freeze in a horrible grimace, until he forces a doctor to treat his affliction--with even more grotesque results! The audience gets an opportunity to vote--via the ""Punishment Poll""--for the penalty Sardonicus must pay for his deeds..."
tt0054988,William Castle,Homicidal,Horror,"The story centers around a murderous scheme to collect a rich inheritance. The object of murder is Miriam Webster, who is to share in the inheritance with her half brother Warren, who lives with his childhood guardian Helga in the mansion where Warren and Mariam grew up. Confined to a wheelchair after recently suffering a stroke, Helga is cared for by her nurse Emily, a strange young woman who has formed a close bond with Warren."
tt0053559,William Castle,13 Ghosts,Horror,"Reclusive Dr. Zorba has died and left his mansion to his nephew Cyrus and his family. They will need to search the house to find the doctor's fortune, but along with the property they have also inherited the occultist's collection of 13 ghosts."
tt0053363,William Castle,The Tingler,Horror,"After much hard work, a pathologist discovers and captures a creature that lives in every vertebrate and grows when fear grips its host. ""Scream for your lives!"""
tt0051744,William Castle,House on Haunted Hill,Horror,"Frederick Loren has invited five strangers to a party of a lifetime. He is offering each of them $10,000 if they can stay the night in a house. But the house is no ordinary house. This house has a reputation for murder. Frederick offers them each a gun for protection. They all arrived in a hearse and will either leave in it $10,000 richer or leave in it dead!"
tt0051885,William Castle,Macabre,Horror,"A doctor's daughter is kidnapped and buried alive, and he is given just five hours to find and rescue her."
tt0049907,William Castle,Uranium Boom,Adventure,"Ex-lumberjack Brad Collins (Dennis Morgan) and mining engineer Grady Mathews (William Talman) find uranium in the Colorado badlands. While Grady guards the claim, Brad goes to register it in town, where he meets and marries Jean Williams (Patricia Medina.) Returning to the claim, Brad learns that Jean was once Grady's fiancee. Grady, as one would expect, is somewhat put out and leaves the mine in Brad's hands, while he hooks up with a confidence man and engineers a scheme to break the back of Brad's somewhat rapidly-created mining empire."
tt0049340,William Castle,The Houston Story,Crime,A Texas oil driller schemes to steal millions of dollars in oil.
tt0048023,William Castle,Duel on the Mississippi,Drama,"In bustling era of 19th-century Louisiana, sugar is as valuable as gold, and pirates like Lili Scarlet (Patricia Medina, Mr. Arkadin) will do anything to get it. After robbing Jules Tulane’s (John Dehner, The Boys from Brazil) estate of his crop, Scarlet takes over Tulane’s land debt and forces him to pay or go to prison. In exchange for postponing his debt, Scarlet allows Tulane’s son, André (Lex Barker, Robin Hood and the Pirates), to work as her servant. When André and Scarlet fall in love, it leads to jealous rage from Scarlet’s former paramour, expert swordsman Hugo (Warren Stevens, Forbidden Planet) — and when Hugo looks to raid the Tulane estate again, it is up to André and Scarlet to take him down and save the estate."
tt0048139,William Castle,The Gun That Won the West,Action,"In the late 1880s, Colonel Carrington and his command are assigned the job of constructing a chain of forts in the Sious Indian territory of Wyoming. Carrington recruits former cavalry scouts Jim Bridger and ""Dakota Jack"" Gaines to lead the project. Bridger and Gaines are friendly with Sioux chief Red Cloud, and they feel a peace treaty with the Indians can be made. If an Indian-war breaks out, the cavalry is depending on getting a new type of Springfield rifle. Bridger, Gaines and Gaines wife, Maxine, arrive at the fort for the conference. Gaines, in a drunken fit, tries to intimidate the Indians unto signing a treaty. Chied Red Fox threatens war if his territory is invaded by any troops building forts."
tt0047820,William Castle,The Americano,Adventure,"An American Rancher takes a small herd of Brahma bulls to Brazil where he has sold them for a small fortune. There, he finds himself in the middle of a range war......and in love. His concern, who are really his friends and who are his enemies"
tt0048358,William Castle,Masterson of Kansas,Western,Western lawman Bat Masterson (George Montgomery) sets out to prove a man standing trial for murder is innocent.
tt0047163,William Castle,The Law vs. Billy the Kid,Western,"Billy the Kid is forced to kill for the woman he loves, and is ultimately brought to justice by his old friend Pat Garrett."
tt0047448,William Castle,The Saracen Blade,Adventure,"Based on the book of the same name by Frank Yerby. Pietro is an orphan who is raised by a family friend in 15th century Italy. When the friend is killed by the same nasty baron who murdered Pietro's father as he led the peasants in revolt against the baron's tyranny, Pietro vows vengeance against the entire family. This will prove difficult, since he's been in love with the daughter of the nasty baron since he was a child and wants to marry her."
tt0046938,William Castle,Drums of Tahiti,Adventure,A smuggler (Dennis O'Keefe) buys a bride (Patricia Medina) in San Francisco to help him run guns in 1877 Tahiti.
tt0047129,William Castle,Jesse James vs. the Daltons,NA,"Joe Branch (Brett King), reputed to be the son of Jesse James, comes riding into Coffeyville Kansas in 3-D, looking for proof one way or the other regarding the question of who is father was."
tt0047121,William Castle,The Iron Glove,Adventure,Irishman Charles Wogan wields his sword in the cause of James Stuart who seeks to replace George I on the throne of England.
tt0046755,William Castle,Battle of Rogue River,Western,"In 1850 Oregon is trying to gain statehood, but a truce is needed with the Indians before it can be accomplished. A new Army commander, Major Archer (George Montgomery), is dispatched to bring order and peace to the territory."
tt0046847,William Castle,Charge of the Lancers,Adventure,"The downward spiral of the quality of films Paulette Goddard appeared in in the 1950's would cause a gravitational blackout to anyone viewing them in a single day, but with some of the all-time great schlock names serving as the producers---Sam Katzman, the Danziger brothers, Albert Zugsmith and---gasp---Sigmund Neufeld--- the results easily met the low expectations."
tt0046328,William Castle,Slaves of Babylon,History,"The Jews are taken from Jerusalem and made slaves by King Nebuchadnezzar. In the meantime Cyrus, king of the Persians, who has been living as a shepherd, is proclaimed king and defeats Nebuchadnezzar."
tt0045645,William Castle,Conquest of Cochise,Western,A cavalry officer tries to keep a lid on a volatile situation when Indian leader Cochise is being prodded into starting a war.
tt0046298,William Castle,Serpent of the Nile,Drama,"Cleopatra (Rhonda Fleming) toys with Mark Antony (Raymond Burr), who wants to merge his Rome with her Egypt."
tt0045784,William Castle,Fort Ti,Western,"Future horror-film entrepreneur William Castle warmed the director's chair for Fort Ti. Set in the 18th century, the film recounts the exploits of Rogers' Rangers, a band of adventurers devoted to seeking out a ""northwest passage"" through Canada. At this juncture, however, Major Rogers (Howard Petrie) is more concerned with helping the British forces at Fort Ticonderoga during a series of French and Indian raids. Top billing is bestowed upon George Montgomery as Captain Pedediah Horn, Rogers' right-hand man. The film boasts two leading ladies: Joan Vohs, as a suspected French spy, and Phyllis Fowler as a married Indian woman who falls in love with Captain Horn. Fort Ti was filmed in 3D, and in typical William Castle fashion the stereoscopic gimmick is exploited to the hilt."
tt0043392,William Castle,Cave of Outlaws,Western,"Western starring Macdonald Carey. Having served a prison sentence for robbery, Pete Carver decides to go back for the hidden loot. But someone is on his trail."
tt0043646,William Castle,Hollywood Story,Crime,A producer takes over a small film studio and - sensing that it'll be a good movie- begins investigating an old murder of a silent film star shot in his office years ago. He finds that his life is threatened as he digs deeper into the mystery.
tt0043523,William Castle,The Fat Man,Mystery,"A innocent dentist is murdered and the only apparent motive seems to be to steal a set of dental x-rays. To the police it looks like an accident, but private eye Brad Runyan thinks there's more to it."
tt0042608,William Castle,It's a Small World,Comedy,"Harry Musk is one in a million. That means that he's the one out of a million children who is perfectly proportioned but will never grow larger than a typical six-year-old. Adult, pint-sized Harry longs to be part of the big world."
tt0042007,William Castle,Undertow,Mystery,"Undertow stars Scott Brady as a gambler just out of wartime military service. No longer interested in wagers and speculations, Brady wants only to open up a mountain vacation lodge. Before this can take place, Brady is framed for murder, and forced to hide out in the home of Peggy Dow. With the help of Dow and a policeman friend, Brady searches for the real murderer. Watch carefully in Undertow and you'll spot new Universal contractee ""Roc"" Hudson as a plainclothes detective."
tt0041529,William Castle,Johnny Stool Pigeon,Crime,A federal agent infiltrates a crime syndicate.
tt0040386,William Castle,The Gentleman from Nowhere,Crime,"Security guard, wounded in a robbery of furs, arouses the suspicions of an insurance investigator."
tt0040868,William Castle,"Texas, Brooklyn & Heaven",Comedy,"Eddie Tayloe's grandfather leaves him six thousand dollars and the money belt it came in, freeing Tayloe to leave his dull newspaper job in Texas and move to New York to become a playwright. Along the way, his car breaks down and a girl walking along the highway asks for a lift. It turns out she's a nice girl, named Perry, running away from a job at a gasoline station. Soon they're off to New York together, but part ways once they arrive. Time passes and Eddie is failing to sell his play; Perry is failing to find a job. Odd circumstances, involving an old pickpocket named Mandy, bring them together again."
tt0039283,William Castle,The Crime Doctor's Gamble,Action,"While visiting France, a criminal psychologist tries to clear a disturbed young man of his father's murder."
tt0038430,William Castle,Crime Doctor's Man Hunt,Crime,A criminal psychologist investigates the murder of a veteran with amnesia.
tt0299112,William Castle,The Return of Rusty,Drama,"A young Czechoslovakian orphan, Loddy Bicek, befriended by an American army sergeant, is brought into the United States as a stowaway by the soldier. He is apprehended, but escapes and makes his way to the sergeant's home town. There, he is befriended by young Danny Mitchell and his dog, Rusty, a K-9 veteran of World War II. A third boy reports Loddy to the authorities, and when Loddy tries to run away, he falls into a deep ravine."
tt0038766,William Castle,Mysterious Intruder,Mystery,A detective discovers the woman hess been hired to track down is the key to an unusual inheritance.
tt0038665,William Castle,Just Before Dawn,Crime,"In the 7th film of the ""Crime Doctor"" series based on the radio program, Dr. Robert Ordway is summoned to take attend a diabetic, and gives an injection of insulin taken from a bottle in the patient's pocket. The man dies and Ordway discovers that what he thought was insulin was really poison. Oops! Two other people are murdered before Ordway discovers who replaced the insulin with poison and what the motive was"
tt0038230,William Castle,Voice of the Whistler,Drama,"A dying millionaire marries his nurse for companionship, only to experience a miracle cure."
tt0037621,William Castle,The Crime Doctor's Warning,Mystery,A criminal psychologist treats an artist whose blackouts coincide with a series of murders.
tt0037049,William Castle,The Mark of the Whistler,Thriller,"A drifter claims the money in an old bank account. Soon he finds himself the target of two men who turn out to be the sons of the man's old partner, who is now in prison because of a conflict with him over the money in that account."
tt0037458,William Castle,When Strangers Marry,Drama,"A naive small-town girl comes to New York City to meet her husband, and discovers that he may be a murderer."
tt0037268,William Castle,She's a Soldier Too,Drama,Wartime workers deal with homefront dramatics.
tt0037461,William Castle,The Whistler,Thriller,The first in a series of movies based on the popular radio drama.
tt0036079,William Castle,Klondike Kate,Western,"A young man in Alaska finds himself accused of murder, and must fight to clear his name."
tt0035726,William Castle,The Chance of a Lifetime,Crime,"An ex-con helps some fellow ex-cons adjust to life as defense workers, only to become involved with a robbery investigation."
tt0185190,William Castle,Black Marketing,Documentary,Documentary short film depicting government methods of detecting black marketeers during wartime rationing.
tt3339674,Joe Dante,Burying the Ex,Comedy,"It seemed like a great idea when all-around nice guy Max and his beautiful girlfriend, Evelyn moved in together. But when Evelyn turns out to be a controlling, manipulative nightmare, Max knows it’s time to call it quits. There’s just one problem: he’s terrified of breaking up with her. Fate steps in when Evelyn is the victim of a fatal, freak accident, leaving Max single and ready to mingle. Just as Max is thinking about moving on with what could be his dream girl, Olivia – Evelyn has returned from the grave and is determined to get her boyfriend back...even if that means transforming him into one of the undead."
tt1085779,Joe Dante,The Hole,Thriller,"After moving into a new neighbourhood, brothers Dane &amp; Lucas and their neighbour Julie discover a bottomless hole in the basement of their home. They find that once the hole is exposed, evil is unleashed. With strange shadows lurking around every corner and nightmares coming to life, they are forced to come face to face with their darkest fears to put an end to the mystery of THE HOLE."
tt0318155,Joe Dante,Looney Tunes: Back in Action,Animation,"Fed up with all the attention going to Bugs Bunny, Daffy Duck quits Hollywood, teams up with recently-fired stuntman Damien Drake Jr. and embarks on a round-the-world adventure, along with Bugs and The VP of Warner Bros. Their mission? Find Damien's father, and the missing blue diamond... and stay one step ahead of The Acme Corp., who wants the diamond for their own purposes."
tt0289969,Joe Dante,Haunted Lighthouse,Adventure,"The film tells the story of two ghost children who are cursed to remain forever on a Cape Cod beach and in a 19th-century era lighthouse. After 100 years, they meet two children visiting the beach and take them to the lighthouse, hoping to turn them into ghosts like them."
tt0122718,Joe Dante,Small Soldiers,Comedy,"When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously."
tt0107529,Joe Dante,Matinee,Comedy,"A showman introduces a small coastal town to a unique movie experience and capitalises on the Cuban Missile crisis hysteria with a kitschy horror extravaganza combining film effects, stage props and actors in rubber suits in this salute to the B-movie."
tt0099700,Joe Dante,Gremlins 2: The New Batch,Comedy,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!"
tt0096734,Joe Dante,The 'Burbs,Comedy,"When secretive new neighbors move in next door, suburbanite Ray Peterson and his friends let their paranoia get the best of them as they start to suspect the newcomers of evildoings and commence an investigation. But it's hardly how Ray, who much prefers drinking beer, reading his newspaper and watching a ball game on the tube expected to spend his vacation."
tt0093260,Joe Dante,Innerspace,Action,"Test pilot Tuck Pendleton volunteers to test a special vessel for a miniaturization experiment. Accidentally injected into a neurotic hypochondriac, Jack Putter, Tuck must convince Jack to find his ex-girlfriend, Lydia Maxwell, to help him extract Tuck and his ship and re-enlarge them before his oxygen runs out."
tt0089114,Joe Dante,Explorers,Family,"The visionary dreams of three curious and adventuresome young boys become an exciting reality in Explorers, the action-fantasy from director Joe Dante, who combines keen humor, warmth and fantasy with unexpected twists. In their makeshift laboratory, the boys use an amazing discovery and their ingenuity to build their own spaceship and launch themselves on a fantastic interplanetary journey."
tt0087363,Joe Dante,Gremlins,Fantasy,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town."
tt0082533,Joe Dante,The Howling,Horror,"After a bizarre and near fatal encounter with a serial killer, a newswoman is sent to a rehabilitation center whose inhabitants may not be what they seem."
tt0078087,Joe Dante,Piranha,Horror,"When flesh-eating piranhas are accidently released into a summer resort's rivers, the guests become their next meal."
tt0074633,Joe Dante,Hollywood Boulevard,Comedy,"Joe Dante directs this story of the glamour, the glitter, the magical allure of Hollywood... and not a speck of it rubs off on Miracle Pictures, where ""If it's a good picture, it's a Miracle."" This is a hilarious tribute to the unsung heroes who grind out the B movies massacred by critics, but nursed fondly in the hearts of film fans everywhere."
