dispnum,incidnum,year,month,day,mid21location,midlocmeasuringpoint,lat,lng,precision,onset
40,40001,1928,4,10,Shantung Province Manchuria,Tsinan,36.66833,116.9972,3,1
41,41001,1929,5,27,"Harbin, North Manchuria","Harbin, China",45.75,126.65,1,1
43,43001,1897,11,14,Kiaochau,"Kiachow, China",38.02583,110.4803,1,1
50,50001,1953,2,11,.,taiwan straits,24.61,119.9,5,1
51,51001,1950,6,24,.,"kaesong, s korea",37.96,126.57,1,1
53,53001,1956,8,22,Taiwan Straits,Taiwan Straits,24,119,5,1
55,55001,1923,8,29,Corfu,"Corfu, Greece",39.45333,19.91972,5,1
56,56001,1897,2,15,.,md point of aegean sea,38.96,25.11,5,1
57,57001,1853,5,31,.,md point of ottoman-russian border,47.88,28.93,4,1
61,61001,1962,1,28,.,waters off of cuba,22.74,-75.58,4,1
64,64001,1826,4,5,Danubian Principalities,"Galati, Romania",45.45,28.05,3,1
65,65001,1883,7,1,Danube region,"Belgrade, Yug",44.81194,20.46556,3,1
67,67001,1934,7,25,.,md point of cze-ger border,50.81,14.1,4,1
68,68001,1900,1,-9,.,md point of dom coast,18.67,-68.26,4,1
69,69001,1914,3,25,"Dominican Republic, Puerto Plata",Puerto Plata,19.8,-70.68333,1,1
71,71001,1850,1,17,"Piraeus, Greece","Piraeus, GRC",37.95,23.63333,1,1
72,72001,1934,6,23,"Durazzo, Albania",Durazzo,41.32306,19.43861,1,1
77,77001,1898,9,18,"Fashoda, Sudan",Fashoda,9.883333,32.11666,1,1
78,78001,1847,7,17,"Ferrara, Papal States",Ferrara,46.72278,12.13417,1,1
86,86001,1907,3,25,.,md point MOR coast,33.72,-7.27,4,1
88,88001,1870,7,6,.,md point FRA border with GER states,49,8.31,4,1
89,89001,1822,9,21,.,md point FRA-SPN border,42.67,0.61,4,1
91,91001,1887,5,22,Turkey,Ankara,39.935,32.86417,5,1
92,92001,1964,2,18,Libreville,"Libreville, Gabon",0.3833333,9.45,1,1
95,95001,1909,10,-9,Haitian Ports (Port-au-Prince),Port au Prince,18.53917,-72.335,4,1
96,96001,1886,4,26,.,entry to corinthian straits,38.24,21.47,4,1
100,100001,1914,12,13,Haiti,Port au Prince,18.53917,-72.335,5,1
104,104001,1880,3,-9,"Ili region, Xinjiang","Ili, Kazakhstan",43.87333,77.18445,3,1
106,106001,1895,4,23,.,between sakhalin and hokkaido,45.71,142.11,5,1
108,108001,1939,4,7,Albania,"Tirana, Albania",41.3275,19.81889,5,1
109,109001,1904,9,-9,Italian-Austrian Border,"Brennner Pass, Italy",47,11.5,4,1
111,111001,1934,11,22,.,"walwal, abys",7.05,45.4,1,1
112,112001,1860,9,7,.,md point of papal states,43.18,13.08,3,1
113,113001,1860,9,18,.,md point of kingdom of two sicilies,40.34,15.94,3,1
114,114001,1911,9,12,Tripoli,"Tripoli, Libya",32.8925,13.18,1,1
115,115001,1859,1,29,.,md point of venetian-auh border,46.83,11.97,4,1
119,119001,1885,3,12,"Penjdeh,Afghanistan",Vakhan,36.91667,72.3,3,1
121,121001,1853,7,2,Dardanelles Strait,Dardanelles Strait,40.25,26.41667,4,1
122,122001,1961,6,25,.,md point of IRQ-KUW border,29.7,47.24,4,1
123,123001,1845,4,-9,.,md point of ARG coast,-36.96,-56.63,4,1
125,125001,1958,5,14,.,suez canal,29.95,32.51,2,1
126,126001,1853,1,-9,.,md point of ottoman and AUH borders,45.39,22.63,4,1
127,127001,1921,3,3,.,md point GER border with FRA/BEL,49.43,6.69,4,1
128,128001,1905,1,11,.,md point of ottoman coast,38.39,27.06,4,1
129,129001,1931,9,18,Manchuria,"Harbin, China",45.75,126.65,3,1
131,131001,1899,9,14,.,usr/kor border-by coast,42.297,130.633,2,1
133,133001,1923,1,11,.,"memel, lithuania",55.5,21.5,1,1
134,134001,1939,3,20,Memel,"Memel, Lithuania",55.5,21.5,1,1
135,135001,1861,10,31,.,"veracruz, mexico",19.333,-96.666,1,1
136,136001,1914,4,9,"Veracruz, Mexico",Veracruz,31.44722,-112.3581,1,1
137,137001,1831,5,4,"Oporto, Portugal",Porto,41.15,-8.616667,1,1
139,139001,1934,12,-9,Jehol province,"Chengteh, China",40.9725,118.1697,3,1
141,141001,1880,6,7,.,"ragusa, ott emp",42.5,18.1,2,1
142,142001,1821,7,18,Danubian Principalities,"Galati, Romania",45.45,28.05,3,1
144,144001,1854,7,9,"Greytown, Nicaragua",Greytown,10.91667,-83.7,1,1
145,145001,1927,1,5,.,shanghai,31.2,121.5,1,1
146,146001,1827,8,16,.,md point of ottoman coast,38.39,27.06,4,1
147,147001,1821,1,-9,"Rieti, Italy (Papal States)",Rieti,42.4,12.85,1,1
148,148001,1959,4,22,Nepal/China Border,"zhabdun, china",29.65,84.16666,4,1
149,149001,1856,11,18,"Neuchatel, SWZ",Neuchatel,47,6.966667,1,1
151,151001,1926,5,2,"Bluefields, Nicaragua",Bluefields,12,-83.75,1,1
152,152001,1896,12,-9,Nigeria-Dahomey border,"parakou, benin",9.35,2.616667,4,1
153,153001,1833,6,22,.,straits of dardanelles,40.2,26.6,4,1
154,154001,1850,9,26,.,md point of GER AUH border,49.12,13.55,4,1
156,156001,1906,2,-9,"Taba, border of Palestine and Sinai","Taba, Egypt",29.48639,34.90194,1,1
157,157001,1937,7,7,China,"Beijing,",39.92889,116.3883,5,1
158,158001,1921,2,21,.,md point of border COS PAN,8.94,-82.53,4,1
159,159001,1903,11,2,Panama,panama city,8.966666,-79.53333,5,1
160,160001,1838,3,21,East Coast of Mexico near Veracruz,Veracruz,31.44722,-112.3581,4,1
164,164001,1904,5,31,.,md point MOR coast,33.72,-7.27,4,1
165,165001,1911,11,2,Northern Iran,tabriz,38.08,46.29194,3,1
166,166001,1908,4,16,Northern Iran,tabriz,38.08,46.29194,3,1
167,167001,1821,3,10,Piedmont,"Cuneo, Italy",44.38334,7.533333,3,1
169,169001,1939,9,1,Poland,Warsaw,52.25,21,5,1
172,172001,1962,1,7,.,taiwan straits,24.61,119.9,5,1
173,173001,1958,7,22,.,taiwan straits,24.61,119.9,5,1
174,174001,1936,3,7,.,md point GER border with FRA/BEL,49.43,6.69,4,1
175,175001,1849,2,18,.,rome,41.96,12.66,3,1
177,177001,1922,8,15,.,md point of GER FRA border,49,8.36,4,1
178,178001,1932,4,-9,Manchuria,"Harbin, China",45.75,126.65,3,1
179,179001,1939,10,8,Finland,Helsinki,60.17556,24.93417,5,1
180,180001,1903,6,29,.,lushun (formerly port arthur),38.8,121.26,3,1
182,182001,1935,1,8,.,Khalkhin Gol,47.92,117.8,5,1
183,183001,1939,5,11,.,Khalkhin Gol,47.92,117.8,1,1
184,184001,1938,7,9,Tumen River,"Tumen, China",31.76667,104.1,4,1
185,185001,1956,10,17,Poland,Warsaw,52.25,21,5,1
186,186001,1920,7,12,Poland,Warsaw,52.25,21,5,1
187,187001,1876,10,31,Balkans,"Sofia, Bulgaria",42.68333,23.31667,5,1
189,189001,1827,11,-9,Danubian Principalities,"Galati, Romania",45.45,28.05,3,1
194,194001,1863,4,17,.,md point of border GER DEN,54.92,9.26,4,1
196,196001,1893,2,4,.,Bangkok,13.91,100.61,1,1
197,197001,1917,11,21,.,near Vladivostok,43.11,131.99,2,1
198,198001,1848,9,1,.,md point of island of sicily,37.58,14.32,5,1
199,199001,1961,11,2,NEFA,"Nefa, India",28,94.5,3,1
200,200001,1955,9,1,.,md point of ISR-EGY border,30.37,34.7,4,1
202,202001,1883,4,14,China,Beijing,39.92889,116.3883,5,1
203,203001,1959,6,23,NEFA(Longju),"Longju, India",28.63333,93.55,3,1
207,207001,1858,1,-9,Gulf of Mexico,Center of Gulf,25,-90,5,1
208,208001,1953,3,10,.,md point of w ger-cze border,49.36,13.21,4,1
210,210001,1936,7,28,.,"near Guadalajara, spn",40.51,-2.96,2,1
211,211001,1920,4,2,.,md point of GER FRA border,49,8.36,4,1
216,216001,1836,11,-9,"Port of Sudjuk-Kali, Black Sea",Black Sea,43,35,5,1
220,220001,1870,7,25,.,"tianjin, china",39.13,117.2,1,1
224,224001,1865,11,4,.,japan,36.21,138.93,5,1
225,225001,1861,11,7,Bahama Channel,"Arch. De Camaguey, Cuba",22.3,-78,4,1
227,227001,1861,3,13,.,japanese waters off USR,45.02,140.02,5,1
228,228001,1881,3,-9,Tunisia,Tunis,36.80278,10.17972,5,1
230,230001,1919,4,29,"Adalia, SW Turkey",Adalia,36.88334,30.7,3,1
231,231001,1849,4,26,Livorno,"Livorno, Italy",43.55,10.31667,1,1
235,235001,1940,7,4,"Mers-el-Kebir, Algeria","Mers-el-Kebir, Algeria",35.73333,-0.7166666,1,1
236,236001,1849,10,6,.,md point border between USR and Ott empire,46.87,29.65,4,1
237,237001,1899,12,28,Delagoa Bay,"Delagoa Bay, Mozambique",-25.98333,32.7,3,1
238,238001,1913,5,10,"off Puerto Barrios, Guatemala",Puerto Barrios,15.71667,-88.6,2,1
239,239001,1864,7,22,.,japan,36.21,138.93,5,1
241,241001,1923,5,5,Artic Ocean near Murmansk,"Murmansk coast, Russia",68.66666,37.5,2,1
242,242001,1904,10,21,"Dogger Bank, North Sea","Dogger Bank, North Sea",55,3,4,1
246,246001,1960,4,22,.,cuba,21.8,-78.7,5,1
247,247001,1905,1,-9,Coast off Dominican Republic,Santo Domingo,18.46667,-69.9,4,1
248,248001,1932,1,31,.,manchuria,46.54,125.82,5,1
249,249001,1910,5,-9,Caribbean coast off Nicaragua,"La Barra, Nic",12.9,-83.53333,4,1
251,251001,1965,4,9,Taiwan Straits,Taiwan Straits,24,119,5,1
252,252001,1945,12,4,.,md point of TUR-USR border,40.924,43.861,4,1
253,253001,1960,5,1,.,USR border close to PAK,36.996,72.64,4,1
254,254001,1902,7,23,.,venezuela cost,10.23,-64.71,4,1
256,256001,1873,10,31,.,"guantanamo bay, cuba",20.08,-75.15,2,1
257,257001,1914,7,23,.,md point of AUH-SERB border,46.08,19.54,4,1
258,258001,1939,3,25,.,md point of border between POL and E. Prussia,54.398,21.627,4,1
259,259001,1956,6,3,Border of Yemen/Aden Protectorate,Aden directorate,12.8,45.03333,4,1
260,260001,1914,9,26,Shantung Province,Shantung Province,36,119,3,1
261,261001,1865,4,3,.,md point of AUH border with GER states,50.449,12.907,4,1
262,262001,1944,9,5,.,Bulgaria,42.6,25.31,5,1
266,266001,1958,2,8,Tunisia-Algeria border,"Tebessa, Algeria",35.40417,8.124166,4,1
301,301001,1835,11,-9,Carribean,"Kingston, Jamaica",18,-76.8,5,1
304,304001,1854,4,20,"Galicia, Transylvania","Sambir, Ukraine",49.51667,23.2,3,1
306,306001,1860,9,17,Rome in Central Italy,Rome,41.9,12.48333,1,1
307,307001,1877,5,6,Malta,"Valetta, Malta",35.89972,14.51472,5,1
309,309001,1898,3,25,Chinese coast,"Hsiamen, China",27.1,120.3167,4,1
310,310001,1905,10,-9,Caribbean Sea,Caribbean Sea,15,-75,5,1
311,311001,1908,4,2,"Tripoli, Libya","Tripoli, Libya",32.8925,13.18,1,1
312,312001,1910,11,-9,Waters off Tripoli,"Tripoli, Libya",32.8925,13.18,2,1
313,313001,1910,3,15,Southern Iran,Sirjan,26.23333,59.03333,3,1
314,314001,1911,10,2,"Albania, Adriatic Sea",Durres,41.32306,19.44139,5,1
315,315001,1911,7,1,.,md point of GER FRA border,49,8.36,4,1
316,316001,1912,1,16,Off the coast of Tunis,"Gulf of Tunis, Tunisia",37,10.5,2,1
317,317001,1912,11,2,.,Bulgaria,42.6,25.31,5,1
320,320001,1914,8,25,.,"Leuven, BEL",50.88,4.7,4,1
321,321001,1916,3,10,US-MEX border,mid pt on border,31.21917,-105.9383,4,1
322,322001,1916,11,29,Dominican Republic,Santo Domingo,18.46667,-69.9,5,1
323,323001,1916,6,6,.,md point of GRE coast,36.63,23.17,4,1
324,324001,1915,3,7,.,"crete, GRE",35.31,25.02,3,1
327,327001,1920,3,16,.,Istanbul,41.02,28.96,1,1
328,328001,1922,9,16,.,Istanbul,41.02,28.96,1,1
336,336001,1937,8,30,Off Coast of Algeria,Algiers,36.76305,3.050555,4,1
339,339001,1940,4,2,Pacific Ocean,mid pt of ocean,1.840833,-157.7667,5,1
343,343001,1966,10,2,Amur and Ussuri Rivers,"Amur River, Russia",52.93333,141.1667,4,1
346,346001,1968,4,23,.,md point of USR-CZE border,48.78,22.56,4,1
347,347001,1968,1,23,Sea of Japan,Japan Sea,43.5,135.75,5,1
349,349001,1969,3,2,Amur and Ussuri Rivers,"Amur River, Russia",52.93333,141.1667,4,1
350,350001,1969,2,14,Peruvian coastal waters,Lima,-12.05,-77.05,4,1
352,352001,1969,1,1,Burma,"Rangoon, Burma",16.78333,96.16666,5,1
354,354001,1972,9,1,North Sea-off of Iceland,"Hvalnes, Iceland",64.4,-14.55,4,1
355,355001,1974,1,15,Paracel Island,Paracel Islands,16.5,112.25,3,1
356,356001,1975,5,12,Waters off Cambodia,Chhung O,12.6,106.5167,4,1
358,358001,1975,10,20,NEFA Twang Tract,"tawang, india",27.67306,92.16472,3,1
360,360001,1975,10,-9,Belize-Guatemalan border,"Barranco, Belize",16,-88.91666,4,1
361,361001,1976,2,3,"Afars and Issas, Djibouti","Djibouti, Djibouti",11.595,43.14806,1,1
362,362001,1976,6,19,.,PRK-KOR border,38.27,127.3,4,1
363,363001,1976,2,4,Falkland Islands,Falkland Islands,-51.75,-59,5,1
364,364001,1974,3,14,Xinjiang Province,"Xinjiang, China",35.61278,111.2178,3,1
365,365001,1976,9,6,"Hokkaido, Japan Kurile Islands","Hokkaido, Japan",44,143,3,1
366,366001,1821,8,27,Franco-Spanish border,"San Sebastien, Spain",43.63334,-7.8,4,1
367,367001,1828,7,20,"Morea, Egypt",center pt of egypt,26.17583,30.1525,5,1
368,368001,1832,9,15,.,md point of BEL-GER border,50.458,6.489,4,1
370,370001,1830,8,28,.,md point of border between FRN & GER states,49.018,8.337,4,1
373,373001,1846,1,-9,Pacific Ocean off Oregon,OR coastline,42.78583,-124.6672,4,1
374,374001,1848,3,23,.,rome,41.96,12.66,3,1
375,375001,1848,4,1,.,GER-DEN border,54.926,9.272,4,1
377,377001,1852,4,-9,"Dardanelles, Turkey",Dardanelles Strait,40.25,26.41667,4,1
378,378001,1898,3,24,Ili Valley,"Ili, Kazakhstan",45.4,74.13333,3,1
379,379001,1898,3,24,Kuangchow,"Kwangchow Wan, China",21.1,110.4667,1,1
380,380001,1856,5,10,Gulf of Mexico,Center of Gulf,25,-90,5,1
381,381001,1864,11,19,Schleswing-Holstein,"Schleswing-Holstein, Germany",54,10.5,3,1
394,394001,1914,9,13,Albania,Tirana,41.3275,19.81889,5,1
395,395001,1916,2,-9,"Lisbon, Oporto","Oporto, Portugal",41.15,-8.616667,1,1
396,396001,1916,8,14,Border,ROM border,47.08889,21.76944,4,1
397,397001,1914,8,17,.,md point of BUL-YUG border,42.94,22.95,4,1
398,398001,1915,2,10,North Sea,North Sea,55.33333,3,5,1
399,399001,1916,10,9,"Atlantic Ocean, North Sea]",line between AO & NS,61.02833,-4.238333,4,1
400,400001,1917,4,5,Coast of Brazil,mid pt on brazilian coast,-10.32306,-36.33306,4,1
406,406001,1930,4,1,Walwal,"Wal Wal, Chad",14.36667,14.1,1,1
407,407001,1931,9,-9,Walwal,"Wal Wal, Chad",14.36667,14.1,1,1
409,409001,1937,5,31,Amur river,"Amur River, Russ",52.93333,141.1667,4,1
410,410001,1938,9,23,Soviet/Polish border,"Brest, Byelorussia",52.1,23.7,4,1
414,414001,1941,3,20,Atlantic Ocean,mid pt of ocean,16.41417,-37.57639,5,1
418,418001,1940,5,21,Greece-Albania border,"Leskovi Kolibi, Bulgaria",41.4,25.06667,4,1
420,420001,1941,4,30,.,"Basra, Iraq",30.49,47.82,2,1
421,421001,1941,10,12,Atlantic Ocean,mid pt of ocean,16.41417,-37.57639,5,1
501,501001,1831,2,5,Belgium,Brussels,50.83333,4.333333,5,1
502,502001,1864,2,12,.,md point of border between GER and HAN,52.466,10.753,4,1
503,503001,1939,9,23,Soviet/Latvian border,"Ostrov, Rus",57.8325,34.995,4,1
504,504001,1940,2,-9,Soviet/Lithuanian border,"Vilnius, Lithuania",54.68333,25.31667,4,1
505,505001,1940,6,10,Soviet/Estonian border,"Polna, Russia",58.45055,28.15639,4,1
506,506001,1881,7,12,"Tongking, Annam","Tongking, Vietnam",22,105,1,1
507,507001,1882,4,25,"Hanoi, Gulf of Tonkin","Hanoi, Vietnam",21.03333,105.85,2,1
508,508001,1866,7,9,Adriatic Sea,Adriatic Sea,42,17.5,5,1
509,509001,1866,8,5,Franco-Prussian border,"Strasbourg, France",48.58333,7.75,4,1
510,510001,1920,4,2,Vladivostok,"Vladivostok, Russia",43.13334,131.9,1,1
511,511001,1899,2,24,"Savman Bay, Chekiang Province","Chekiang Province, China",29,120,3,1
523,523001,1941,8,19,Iran,Tehran,35.67194,51.42445,5,1
601,601001,1972,1,20,Peruvian coastal waters,Lima,-12.05,-77.5,4,1
602,602001,1972,11,12,Pacific Ocean off Equador,Manta,-0.95,-80.73333,4,1
603,603001,1946,8,2,.,tehran,35.91,50.77,5,1
604,604001,1949,7,-9,Aden protectorate,Aden directorate,12.8,45.03333,3,1
605,605001,1956,7,30,"Wa State, Burma","kengtang, MY",21.49972,99.65305,3,1
606,606001,1956,10,20,Hungary,Budapest,47.5,19.08333,5,1
607,607001,1957,4,13,.,SYR-JOR border,32.38,37.33,4,1
608,608001,1958,11,7,.,berlin,52.52,13.38,1,1
610,610001,1962,10,22,Yemen/Saudi Arabia border,"Najran, Saudi Arabia",17.50556,44.18417,4,1
611,611001,1964,2,23,.,md point of VIE coast,12.84,109.37,4,1
612,612001,1921,2,27,"Batum, Georgia","Batum, Georgia",41.64889,41.64833,1,1
613,613001,1940,11,23,Thai Indochina boader,"Khemmarat, Thailand",16.05,105.2167,4,1
614,614001,1944,2,23,Turkey,Ankara,39.935,32.86417,5,1
616,616001,1935,11,1,China,"Beijing,",39.92889,116.3883,5,1
617,617001,1942,2,4,"Cairo,Egypt",Cairo,30.05,31.25,1,1
619,619001,1975,11,15,High Seas-North Sea near Iceland,Rockall Rise,59,-14,5,1
623,623001,1965,7,-9,Sikkim,"Sikkim, India",27.75,88.5,3,1
624,624001,1963,4,-9,French Guyana,Cayenne,4.933333,-52.33333,5,1
632,632001,1917,4,4,Cuba,Havana,23.13194,-82.36417,5,1
633,633001,1949,10,1,.,taiwan straits,24.61,119.9,5,1
634,634001,1949,10,1,Beijing,Beijing,39.92889,116.3883,1,1
1002,1002001,1963,4,26,.,md point of dom coast,18.67,-68.26,4,1
1006,1006001,1950,4,20,Jerusalem,"Jerusalem, Israel",31.75,35,1,1
1008,1008001,1955,10,17,.,ISR-JOR border,31.15,35.687,4,1
1013,1013001,1957,1,12,Gulf of Aqaba,"Gulf of Aqaba, Saudia Arabia",29,34.66667,3,1
1017,1017001,1965,10,28,Lebanon,Beirut,33.87194,35.50972,5,1
1018,1018001,1962,6,14,Jerusalem,"Jerusalem, Israel",31.75,35,1,1
1019,1019001,1963,8,25,Jerusalem,"Jerusalem, Israel",31.75,35,1,1
1020,1020001,1964,1,24,"Border area, Jerusalem","Jerusalem, Israel",31.75,35,2,1
1021,1021001,1960,4,15,West Irian,"Irian Jaya, Indonesia",-5,138,3,1
1022,1022001,1961,12,18,North New Guenoa,"Wewak, PNG",-3.55,143.6333,3,1
1023,1023001,1951,8,16,West Irian,"Irian Jaya, Indonesia",5,138,3,1
1024,1024001,1957,11,7,West Irian,"Irian Jaya, Indonesia",-5,138,3,1
1025,1025001,1927,8,-9,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3,1
1026,1026001,1928,8,22,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3,1
1027,1027001,1931,6,15,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3,1
1028,1028001,1936,10,3,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3,1
1029,1029001,1938,6,-9,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3,1
1035,1035001,1966,12,16,.,ISR-SYR border,32.945,35.84,4,1
1039,1039001,1970,6,11,.,SYR-JOR border,32.38,37.33,4,1
1042,1042001,1948,6,-9,Area of Hebron and Jerusalem,"Jerusalem, Israel",31.75,35,2,1
1043,1043001,1973,2,21,Sinai peninsula,"Sinai, Egypt",29.5,34,3,1
1046,1046001,1971,10,18,.,ISR-SYR border,32.945,35.84,4,1
1051,1051001,1968,5,12,Israel/Lebanon border,"Me'ona, Israel",33.01667,35.26667,4,1
1058,1058001,1943,9,-9,Thailand,Bangkok,13.75,100.5167,5,1
1061,1061001,1974,4,12,.,ISR-LEB border,32.93,35.519,4,1
1062,1062001,1953,8,28,Trieste,"Trieste, Italy",45.64861,13.78,1,1
1063,1063001,1908,8,-9,"Curacao, Venezuelan coast",Curacao,10.38083,-71.29861,1,1
1066,1066001,1941,12,17,Indian Ocean,Indian Ocean,-10,70,5,1
1067,1067001,1967,7,15,"Border area, Jerusalem","Jerusalem, Israel",31.75,35,2,1
1068,1068001,1970,8,15,Israel,"Jerusalem, Israel",31.75,35,5,1
1069,1069001,1968,7,23,Algiers,"Algiers, Algeria",36.76305,3.050555,1,1
1070,1070001,1963,2,11,.,mid pt borneo border,1.45,114.47,4,1
1072,1072001,1968,4,4,Sabah,"Sabah, Iraq",35.3125,43.36833,1,1
1073,1073001,1954,8,7,Goa,"Goa, India",15.58333,74,1,1
1074,1074001,1961,8,17,Goa,"Goa, India",15.58333,74,1,1
1077,1077001,1947,9,22,Junagadh,"Junagadh, India",21.51667,70.46667,1,1
1079,1079001,1951,3,13,Kashmir,Kashmir,34.56667,74.75,3,1
1081,1081001,1971,7,20,Jordan-Syria border,"Imtan, Syria",32.4,36.81667,4,1
1082,1082001,1937,7,-9,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3,1
1083,1083001,1962,7,2,Zegdou and Tindouf,"Tindouf, Algeria",27.67417,-8.147778,1,1
1084,1084001,1963,9,30,Algerian-Moroccan border,"Figuig, Morocco",32.11666,-1.226944,4,1
1086,1086001,1909,5,9,Northern Moroco,Tangier Bay,35.78917,-5.793889,3,1
1087,1087001,1911,5,23,Northern Morocco,Tangier,35.78472,-5.812778,3,1
1091,1091001,1958,2,1,"Lake Nuba, Wali Halfa","Nuba, Sudan",15.06667,30.45,3,1
1093,1093001,1900,5,-9,Sena Ultima Esperanza,"Esperanza, Arg",-26.01667,-54.65,1,1
1094,1094001,1907,11,-9,Martin Garcia Island,"Isla de Martin Garcia, Argentina",-34.1875,-58.28111,3,1
1095,1095001,1912,1,-9,Rio Paraguay,"Asuncion, Paraguay",-25.26667,-57.66667,4,1
1097,1097001,1952,7,-9,Alto Palena,"Alto Palena, Chile",-43.61666,-71.8,1,1
1098,1098001,1955,8,4,Alto Palena,"Alto Palena, Chile",-43.61666,-71.8,1,1
1099,1099001,1958,4,-9,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1
1100,1100001,1959,8,16,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1
1101,1101001,1960,3,24,Alto Palena,"Alto Palena, Chile",-43.61666,-71.8,1,1
1102,1102001,1963,9,17,Beagle Channel 1,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1
1104,1104001,1972,5,6,Oman/South Yemen border,"Habarut, Yemen",17.3,52.73333,4,1
1105,1105001,1973,11,18,Oman/South Yemen border,"Habarut, Yemen",17.3,52.73333,4,1
1106,1106001,1975,11,-9,South Yemen/Oman border area,"Habarut, Yemen",17.3,52.73333,4,1
1107,1107001,1971,10,25,Yemen/South Yemen Border,"San'a', Yemen",15.5,44.25,4,1
1108,1108001,1962,10,1,.,YEM-SAU border,17.23,47.46,4,1
1109,1109001,1966,5,1,.,YEM-SAU border,17.23,47.46,4,1
1110,1110001,1969,11,26,near al Wadeish,saudi-yemen border,16.8125,47.49667,2,1
1112,1112001,1949,9,25,Dominican-Haitian border,"Banica, DR",19.08333,-71.7,4,1
1115,1115001,1967,5,8,Venezuelan Coast,Bonaire Basin,11.41667,-67.5,4,1
1117,1117001,1957,11,23,Spanish Sahara,"Tan Tan, Morocco",28.43361,-11.10556,5,1
1118,1118001,1972,1,1,Off Moroccan coast,Rabat,34.05,-6.766667,4,1
1119,1119001,1973,1,1,Coast of Morocco,Tangiers,35.78472,-5.812778,4,1
1120,1120001,1901,2,-9,Rio Massacre,"Rio de Massacre, Chile",-53.56667,-72.31667,4,1
1123,1123001,1962,7,9,Iraq-Turkey border,"Cukurca, Turkey",41.06667,32.68333,4,1
1124,1124001,1958,12,29,.,GUA-MEX border,16.23,-90.27,4,1
1127,1127001,1931,1,-9,Saudi Yemen border,"Najran, Saudi Arabia",17.50556,44.18417,4,1
1128,1128001,1931,12,30,Najran-S.Arabia Yemen border,"Najran, Saudi Arabia",17.50556,44.18417,1,1
1129,1129001,1933,11,15,.,YEM-SAU border,17.23,47.46,4,1
1130,1130001,1921,10,1,Gilan province Iran,Gilan Region,37,49.83333,3,1
1131,1131001,1914,11,15,Northwest Iran,Tabriz,38.08,46.29194,3,1
1132,1132001,1918,11,3,Iran,Tehran,35.67194,51.42445,5,1
1133,1133001,1920,5,8,.,md pt USR-IRN border,37.36,54.45,5,1
1134,1134001,1974,8,13,"Kordestan, Qasr-e-sharin, Qala Diza","Kordestan, Iran",37,44,3,1
1135,1135001,1971,11,30,Persian Gulf,Persian Gulf,27,51,5,1
1136,1136001,1969,4,6,Shatt-al-Arab,Shatt-al-Arab (Iran/Iraq),29.94972,48.57306,3,1
1138,1138001,1959,9,22,Shatt-al-Arab,Shatt-al-Arab (Iran/Iraq),29.94972,48.57306,3,1
1139,1139001,1932,9,1,Leticia,"Leticia, Colombia",10.36667,-74.46667,1,1
